,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
300,salinas,10,US,1569692878,63,64.99,36.67,-121.66,14.99
301,puerto el triunfo,75,SV,1569692878,74,87.8,13.27,-88.55,4.7
302,butterworth,75,MY,1569692878,94,78.8,5.4,100.37,4.7
303,manadhoo,48,MV,1569692878,68,83.15,5.77,73.38,5.5
304,vostok,0,RU,1569692879,86,54.17,46.45,135.83,4.74
305,ankang,0,CN,1569692879,85,60.65,32.73,108.99,1.63
306,adrar,40,DZ,1569692879,10,105.8,27.87,-0.29,13.87
307,texcalyacac,75,MX,1569692879,55,78.8,19.13,-99.5,5.82
308,padang,100,ID,1569692879,86,78.65,-0.92,100.36,16.17
309,zonguldak,0,TR,1569692880,93,59.0,41.25,31.83,1.12
310,sandusky,40,US,1569692750,73,81.0,41.45,-82.71,6.93
311,zeerust,0,ZA,1569692880,11,75.2,-25.54,26.07,5.82
312,isla mujeres,75,MX,1569692880,79,87.8,21.23,-86.73,10.29
313,banswara,100,IN,1569692880,94,74.15,23.55,74.45,2.98
314,linxia,0,CN,1569692881,49,51.11,35.6,103.21,6.82
315,cuenca,75,EC,1569692881,59,66.2,-2.9,-79.0,9.17
316,jan kempdorp,98,ZA,1569692881,10,68.57,-27.92,24.84,13.51
317,kaitangata,79,NZ,1569692881,68,46.99,-46.28,169.85,1.99
318,camargo,14,MX,1569692882,37,82.61,27.69,-105.17,1.7
319,limbang,75,BN,1569692882,94,78.8,4.75,115.01,2.24
320,khatanga,72,RU,1569692882,73,26.81,71.98,102.47,3.06
321,utmanzai,75,PK,1569692882,61,80.6,34.19,71.76,4.7
322,ust-koksa,100,RU,1569692883,98,37.07,50.27,85.62,6.04
323,tiznit,0,MA,1569692883,86,69.29,29.7,-9.73,4.29
324,kargopol,93,RU,1569692883,95,39.59,61.51,38.95,3.8
325,hami,17,CN,1569692883,22,70.55,42.84,93.51,5.3
326,saint-leu,75,RE,1569692883,73,75.2,-21.15,55.28,3.27
327,najran,68,SA,1569692884,51,73.61,17.54,44.22,11.39
328,north bend,40,US,1569692884,93,57.99,43.41,-124.22,4.7
329,sabang,100,PH,1569692884,87,81.0,13.8,121.11,4.0
330,saravena,47,CO,1569692885,46,90.17,6.96,-71.88,3.98
331,saint george,20,GR,1569692885,60,73.4,39.45,22.34,6.93
332,almaznyy,20,RU,1569692885,62,55.4,48.03,40.04,4.47
333,jhalrapatan,99,IN,1569692885,91,73.43,24.54,76.17,10.74
334,bojnurd,0,IR,1569692886,53,71.6,37.47,57.33,11.41
335,araouane,0,ML,1569692886,8,102.77,18.9,-3.53,7.78
